,,,,,,
,,,,,,
,Region,Personnel ,Maintenance,Capital Outlays,Total,Year
,CENTRAL OFFICE,"182,969,000","28,900,000,000","212,000,000","29,300,000,000",2024
,Regional Allocation,"270,494,000","71,711,000","15,000,000","357,205,000",2024
,National Capital Region (NCR),"18,794,000","10,381,000",0,"29,175,000",2024
,Region I - Ilocos,"13,625,000","5,109,000",0,"18,734,000",2024
,Cordillera Administrative Region (CAR),"18,945,000","3,801,000",0,"22,746,000",2024
,Region II - Cagayan Valley,"13,583,000","3,465,000",0,"17,048,000",2024
,Region III - Central Luzon,"18,126,000","3,680,000","15,000,000","36,806,000",2024
,Region IVA - CALABARZON,"19,017,000","4,659,000",0,"23,676,000",2024
,Region IVB - MIMAROPA,"12,031,000","3,080,000",0,"15,111,000",2024
,Region V - Bicol,"18,278,000","3,965,000",0,"22,243,000",2024
,Region VI - Western Visayas,"21,363,000","4,236,000",0,"25,599,000",2024
,Region VII - Central Visayas,"19,320,000","6,258,000",0,"25,578,000",2024
,Region VIII - Eastern Visayas,"19,514,000","4,277,000",0,"23,791,000",2024
,Region IX - Zamboanga Peninsula,"15,463,000","3,842,000",0,"19,305,000",2024
,Region X - Northern Mindanao,"17,789,000","4,286,000",0,"22,075,000",2024
,Region XI - Davao,"16,221,000","3,499,000",0,"19,720,000",2024
,Region XII - SOCCSKSARGEN,"15,038,000","3,349,000",0,"18,387,000",2024
,Region XIII - CARAGA,"13,387,000","3,824,000",0,"17,211,000",2024
,CENTRAL OFFICE,148463000,48759457000,248587000,49155507000,2019
,REGIONAL ALLOCATION,263973000,71750000,6851000,342574000,2019
,National Capital Region (NCR),18575000,8517000,2241000,29309000,2019
,Region I - Ilocos,16519000,4097000,2241000,22857000,2019
,Cordillera Administrative Region (CAR),13354000,2932000,1857000,18143000,2019
,Region II - Cagayan Valley,21067000,4106000,1857000,27030000,2019
,Region III - Central Luzon,16313000,4243000,1857000,22413000,2019
,Region IVA - CALABARZON,10387000,3434000,1857000,15678000,2019
,Region IVB - MIMAROPA,17340000,4060000,1857000,23257000,2019
,Region V - Bicol,20138000,4629000,1857000,26624000,2019
,Region VI - Western Visayas,17751000,6684000,1857000,26292000,2019
,Region VII - Central Visayas,16864000,4259000,1857000,22980000,2019
,Region VIII - Eastern Visayas,20078000,4285000,1857000,26220000,2019
,Region IX - Zamboanga Peninsula,17957000,3781000,1857000,23595000,2019
,Region X - Northern Mindanao,16427000,3709000,1857000,21993000,2019
,Region XI - Davao,14019000,3736000,1857000,19612000,2019
,Region XII - SOCCSKSARGEN,12400000,4265000,1857000,18522000,2019
,Region XIII - CARAGA,12400000,4265000,1857000,18522000,2019