,,,,,,
,CALABARZON,Private,88,14,1:6,2019
,CALABARZON,Private,490,9,1:54,2019
,CALABARZON,Private,403,18,1:22,2019
,CALABARZON,Private,2208,60,1:37,2019
,CALABARZON,Private,1102,62,1:18,2019
,CALABARZON,Private,607,34,1:18,2019
,CALABARZON,Private,202,18,1:11,2019
,CALABARZON,Private,360,38,1:9,2019
,CALABARZON,Private,234,17,1:14,2019
,CALABARZON,Private,458,37,1:12,2019
,CALABARZON,Private,3345,99,1:34,2019
,CALABARZON,Private,740,39,1:19,2019
,CALABARZON,Private,148,14,1:11,2019
,CALABARZON,Private,2073,95,1:22,2019
,CALABARZON,Private,168,26,1:6,2019
,CALABARZON,Private,1722,68,1:25,2019
,CALABARZON,Private,231,28,1:8,2019
,CALABARZON,Private,42,26,1:2,2019
,CALABARZON,Private,1103,65,1:17,2019
,CALABARZON,Private,7691,172,1:45,2019
,CALABARZON,Private,1911,88,1:22,2019
,CALABARZON,Private,1494,107,1:14,2019
,CALABARZON,Private,1421,114,1:12,2019
,CALABARZON,Private,1832,245,1:7,2019
,CALABARZON,Private,640,63,1:10,2019
,CALABARZON,Private,4242,151,1:28,2019
,CALABARZON,Private,27,25,1:1,2019
,CALABARZON,Private,166,10,1:17,2019
,CALABARZON,Private,1136,36,1:32,2019
,CALABARZON,Private,445,27,1:16,2019
,Bicol Region,Private,174,13,1:13,2019
,Bicol Region,Private,57,23,1:2,2019
,Bicol Region,Private,306,18,1:17,2019
,Bicol Region,Private,348,48,1:7,2019
,Bicol Region,Private,205,16,1:13,2019
,Bicol Region,Private,577,42,1:14,2019
,Bicol Region,Private,718,32,1:22,2019
,Bicol Region,Private,154,7,1:22,2019
,Bicol Region,Private,117,6,1:20,2019
,Bicol Region,Private,397,39,1:10,2019
,Bicol Region,Private,429,29,1:15,2019
,Bicol Region,Private,4063,245,1:17,2019
,Bicol Region,Private,50,25,1:2,2019
,Bicol Region,Private,1350,33,1:41,2019
,Bicol Region,Private,2812,99,1:28,2019
,Bicol Region,Private,1222,30,1:41,2019
,Bicol Region,Private,36,12,1:3,2019
,Bicol Region,Private,58,14,1:4,2019
,Bicol Region,Private,468,25,1:19,2019
,Bicol Region,Private,34,24,1:1,2019
,Bicol Region,Private,609,25,1:24,2019
,Bicol Region,Private,26,9,1:3,2019
,Bicol Region,Private,1353,58,1:23,2019
,Bicol Region,Private,576,80,1:7,2019
,Bicol Region,Private,938,28,1:34,2019
,Bicol Region,Private,22,15,1:1,2019
,Bicol Region,Private,567,37,1:15,2019
,Bicol Region,Private,75,15,1:5,2019
,Bicol Region,Private,116,12,1:10,2019
,Bicol Region,Private,397,22,1:18,2019
,Bicol Region,Private,166,15,1:11,2019
,Bicol Region,Private,476,29,1:16,2019
,Bicol Region,Private,248,12,1:21,2019
,Bicol Region,Private,577,41,1:14,2019
,Bicol Region,Private,38,10,1:4,2019
,Bicol Region,Private,2138,98,1:22,2019
,Bicol Region,Private,673,44,1:15,2019
,Bicol Region,Private,174,15,1:12,2019
,Bicol Region,Private,48,8,1:6,2019
,Bicol Region,Private,215,24,1:9,2019
,Bicol Region,Private,656,29,1:23,2019
,Bicol Region,Private,12,16,1:1,2019
,Bicol Region,Private,45,17,1:3,2019
,Bicol Region,Private,82,26,1:3,2019
,Bicol Region,Private,413,31,1:13,2019
,Bicol Region,Private,41,14,1:3,2019
,Bicol Region,Private,18,11,1:2,2019
,Bicol Region,Private,303,22,1:14,2019
,Bicol Region,Private,262,24,1:11,2019
,Bicol Region,Private,38,13,1:3,2019
,Bicol Region,Private,834,54,1:15,2019
,Bicol Region,Private,1139,36,1:32,2019
,Bicol Region,Private,89,10,1:9,2019
,Bicol Region,Private,39,9,1:4,2019
,Bicol Region,Private,3738,68,1:55,2019
,Bicol Region,Private,1450,80,1:18,2019
,Bicol Region,Private,1797,60,1:30,2019
,Bicol Region,Private,927,45,1:21,2019
,Bicol Region,Private,247,10,1:25,2019
,Bicol Region,Private,2168,77,1:28,2019
,Bicol Region,Private,14,7,1:2,2019
,Bicol Region,Private,31,15,1:2,2019
,Bicol Region,Private,13,9,1:1,2019
,Bicol Region,Private,4168,110,1:38,2019
,Bicol Region,Private,164,26,1:6,2019
,Bicol Region,Private,2436,105,1:23,2019
,Bicol Region,Private,915,64,1:14,2019
,Bicol Region,Private,24,18,1:1,2019
,Bicol Region,Private,211,22,1:10,2019
,Bicol Region,Private,38,11,1:3,2019
,Bicol Region,Private,306,36,1:9,2019
,Bicol Region,Private,751,44,1:17,2019
,Bicol Region,Private,114,27,1:4,2019
,Bicol Region,Private,18,13,1:1,2019
,Bicol Region,Private,79,13,1:6,2019
,Bicol Region,Private,525,36,1:15,2019
,Bicol Region,Private,347,26,1:13,2019
,Bicol Region,Private,478,40,1:12,2019
,Bicol Region,Private,832,46,1:18,2019
,Bicol Region,Private,67,11,1:6,2019
,Bicol Region,Private,545,23,1:24,2019
,Bicol Region,Private,540,44,1:12,2019
,Bicol Region,Private,220,22,1:10,2019
,Bicol Region,Private,533,41,1:13,2019
,Bicol Region,Private,357,17,1:21,2019
,Bicol Region,Private,262,52,1:5,2019
,Bicol Region,Private,390,15,1:26,2019
,Bicol Region,Private,772,50,1:15,2019
,Bicol Region,Private,582,33,1:18,2019
,Bicol Region,Private,250,15,1:17,2019
,Bicol Region,Private,335,26,1:13,2019
,Bicol Region,Private,245,20,1:12,2019
,Bicol Region,Private,28,10,1:3,2019
,Bicol Region,Private,614,40,1:15,2019
,Bicol Region,Private,70,14,1:5,2019
,Bicol Region,Private,313,13,1:24,2019
,Bicol Region,Private,374,24,1:16,2019
,Bicol Region,Private,331,22,1:15,2019
,Bicol Region,Private,498,25,1:20,2019
,Bicol Region,Private,279,16,1:17,2019
,Bicol Region,Private,918,44,1:21,2019
,Bicol Region,Private,2125,132,1:16,2019
,Bicol Region,Private,2117,188,1:11,2019
,Bicol Region,Private,4785,243,1:20,2019
,Bicol Region,Private,2018,133,1:15,2019
,Bicol Region,Private,2235,129,1:17,2019
,Bicol Region,Private,1424,61,1:23,2019
,Bicol Region,Private,345,18,1:19,2019
,Bicol Region,Private,44,10,1:4,2019
,Bicol Region,Private,142,10,1:14,2019
,Bicol Region,Private,284,27,1:11,2019
,Western Visayas,Private,284,10,1:28,2019
,Western Visayas,Private,117,7,1:17,2019
,Western Visayas,Private,379,8,1:47,2019
,Western Visayas,Private,552,23,1:24,2019
,Western Visayas,Private,1213,55,1:22,2019
,Western Visayas,Private,905,57,1:16,2019
,Western Visayas,Private,107,6,1:18,2019
,Western Visayas,Private,153,10,1:15,2019
,Western Visayas,Private,786,34,1:23,2019
,Western Visayas,Private,300,29,1:10,2019
,Western Visayas,Private,451,14,1:32,2019
,Western Visayas,Private,13,7,1:2,2019
,Western Visayas,Private,217,10,1:22,2019
,Western Visayas,Private,632,50,1:13,2019
,Western Visayas,Private,8276,567,1:15,2019
,Western Visayas,Private,2064,67,1:31,2019
,Western Visayas,Private,165,19,1:9,2019
,Western Visayas,Private,292,41,1:7,2019
,Western Visayas,Private,965,65,1:15,2019
,Western Visayas,Private,280,27,1:10,2019
,Western Visayas,Private,1556,100,1:16,2019
,Western Visayas,Private,177,15,1:12,2019
,Western Visayas,Private,85,26,1:3,2019
,Western Visayas,Private,51,21,1:2,2019
,Western Visayas,Private,83,17,1:5,2019
,Western Visayas,Private,1125,70,1:16,2019
,Western Visayas,Private,2917,121,1:24,2019
,Western Visayas,Private,1835,44,1:42,2019
,Western Visayas,Private,71,14,1:5,2019
,Western Visayas,Private,1900,49,1:39,2019
,Western Visayas,Private,97,17,1:6,2019
,Western Visayas,Private,2720,176,1:15,2019
,Western Visayas,Private,350,125,1:3,2019
,Western Visayas,Private,500,14,1:36,2019
,Western Visayas,Private,153,9,1:17,2019
,Western Visayas,Private,1613,74,1:22,2019
,Western Visayas,Private,1655,73,1:23,2019
,Western Visayas,Private,1874,71,1:26,2019
,Western Visayas,Private,472,50,1:9,2019
,Western Visayas,Private,2453,169,1:15,2019
,Western Visayas,Private,142,26,1:5,2019
,Western Visayas,Private,18,23,1:1,2019
,Western Visayas,Private,465,25,1:19,2019
,Western Visayas,Private,2423,87,1:28,2019
,Western Visayas,Private,15,8,1:2,2019
,Western Visayas,Private,15,11,1:1,2019
,Western Visayas,Private,284,7,1:41,2019
,Western Visayas,Private,2650,207,1:13,2019
,Western Visayas,Private,1258,78,1:16,2019
,Western Visayas,Private,208,44,1:5,2019
,Western Visayas,Private,17,22,1:1,2019
,Western Visayas,Private,43,20,1:2,2019
,Western Visayas,Private,50,14,1:4,2019
,Western Visayas,Private,9,14,1:1,2019
,Western Visayas,Private,332,30,1:11,2019
,Western Visayas,Private,490,47,1:10,2019
,Western Visayas,Private,92,14,1:7,2019
,Western Visayas,Private,116,12,1:10,2019
,Western Visayas,Private,781,128,1:6,2019
,Western Visayas,Private,750,30,1:25,2019
,Western Visayas,Private,5032,75,1:67,2019
,Western Visayas,Private,1109,45,1:25,2019
,Western Visayas,Private,93,9,1:10,2019
,Western Visayas,Private,485,9,1:54,2019
,Western Visayas,Private,42,13,1:3,2019
,Western Visayas,Private,116,13,1:9,2019
,Western Visayas,Private,372,15,1:25,2019
,Western Visayas,Private,3486,103,1:34,2019
,Western Visayas,Private,664,59,1:11,2019
,Western Visayas,Private,8014,161,1:50,2019
,Western Visayas,Private,4544,283,1:16,2019
,Western Visayas,Private,5633,395,1:14,2019
,Western Visayas,Private,6632,480,1:14,2019
,Western Visayas,Private,3574,64,1:56,2019
,Western Visayas,Private,4784,193,1:25,2019
,Central Visayas,Private,125,5,1:25,2019
,Central Visayas,Private,457,42,1:11,2019
,Central Visayas,Private,877,15,1:58,2019
,Central Visayas,Private,161,25,1:6,2019
,Central Visayas,Private,118,12,1:10,2019
,Central Visayas,Private,366,29,1:13,2019
,Central Visayas,Private,163,21,1:8,2019
,Central Visayas,Private,4485,123,1:36,2019
,Central Visayas,Private,262,14,1:19,2019
,Central Visayas,Private,56,25,1:2,2019
,Central Visayas,Private,579,16,1:36,2019
,Central Visayas,Private,110,12,1:9,2019
,Central Visayas,Private,567,50,1:11,2019
,Central Visayas,Private,237,19,1:12,2019
,Central Visayas,Private,105,20,1:5,2019
,Central Visayas,Private,63,14,1:5,2019
,Central Visayas,Private,793,18,1:44,2019
,Central Visayas,Private,168,10,1:17,2019
,Central Visayas,Private,3507,279,1:13,2019
,Central Visayas,Private,635,242,1:3,2019
,Central Visayas,Private,1631,23,1:71,2019
,Central Visayas,Private,695,189,1:4,2019
,Central Visayas,Private,8752,224,1:39,2019
,Central Visayas,Private,24,9,1:3,2019
,Central Visayas,Private,12,9,1:1,2019
,Central Visayas,Private,17,17,1:1,2019
,Central Visayas,Private,1816,71,1:26,2019
,Central Visayas,Private,477,38,1:13,2019
,Central Visayas,Private,926,22,1:42,2019
,Central Visayas,Private,80,17,1:5,2019
,Central Visayas,Private,533,37,1:14,2019
,Central Visayas,Private,831,52,1:16,2019
,Central Visayas,Private,191,13,1:15,2019
,Central Visayas,Private,112,18,1:6,2019
,Central Visayas,Private,658,44,1:15,2019
,Central Visayas,Private,163,36,1:5,2019
,Central Visayas,Private,77,18,1:4,2019
,Central Visayas,Private,1174,39,1:30,2019
,Central Visayas,Private,1690,118,1:14,2019
,Central Visayas,Private,413,41,1:10,2019
,Central Visayas,Private,3472,207,1:17,2019
,Central Visayas,Private,57,17,1:3,2019
,Central Visayas,Private,42,22,1:2,2019
,Central Visayas,Private,121,28,1:4,2019
,Central Visayas,Private,86,18,1:5,2019
,Central Visayas,Private,164,18,1:9,2019
,Central Visayas,Private,45,23,1:2,2019
,Central Visayas,Private,15,11,1:1,2019
,Central Visayas,Private,968,50,1:19,2019
,Central Visayas,Private,145,25,1:6,2019
,Central Visayas,Private,109,12,1:9,2019
,Central Visayas,Private,268,19,1:14,2019
,Central Visayas,Private,760,46,1:17,2019
,Central Visayas,Private,419,15,1:28,2019
,Central Visayas,Private,552,16,1:35,2019
,Central Visayas,Private,710,46,1:15,2019
,Central Visayas,Private,152,12,1:13,2019
,Central Visayas,Private,556,20,1:28,2019
,Central Visayas,Private,83,17,1:5,2019
,Central Visayas,Private,141,32,1:4,2019
,Central Visayas,Private,668,28,1:24,2019
,Central Visayas,Private,414,24,1:17,2019
,Central Visayas,Private,25,20,1:1,2019
,Central Visayas,Private,13,3,1:4,2019
,Central Visayas,Private,284,29,1:10,2019
,Central Visayas,Private,296,35,1:8,2019
,Central Visayas,Private,863,48,1:18,2019
,Central Visayas,Private,536,47,1:11,2019
,Central Visayas,Private,41,17,1:2,2019
,Central Visayas,Private,100,20,1:5,2019
,Central Visayas,Private,1227,166,1:7,2019
,Central Visayas,Private,370,44,1:8,2019
,Central Visayas,Private,2105,26,1:81,2019
,Central Visayas,Private,867,157,1:6,2019
,Central Visayas,Private,52,7,1:7,2019
,Central Visayas,Private,335,21,1:16,2019
,Central Visayas,Private,92,12,1:8,2019
,Central Visayas,Private,97,14,1:7,2019
,Central Visayas,Private,44,14,1:3,2019
,Central Visayas,Private,5218,215,1:24,2019
,Central Visayas,Private,5160,215,1:24,2019
,Central Visayas,Private,7993,233,1:34,2019
,Central Visayas,Private,7669,271,1:28,2019
,Central Visayas,Private,185,16,1:12,2019
,Central Visayas,Private,366,37,1:10,2019
,Central Visayas,Private,1751,44,1:40,2019
,Central Visayas,Private,2839,38,1:75,2019
,Central Visayas,Private,618,29,1:21,2019
,Central Visayas,Private,57,15,1:4,2019
,Eastern Visayas,Private,168,23,1:7,2019
,Eastern Visayas,Private,119,15,1:8,2019
,Eastern Visayas,Private,782,28,1:28,2019
,Eastern Visayas,Private,91,11,1:8,2019
,Eastern Visayas,Private,683,30,1:23,2019
,Eastern Visayas,Private,3927,80,1:49,2019
,Eastern Visayas,Private,716,26,1:28,2019
,Eastern Visayas,Private,728,31,1:23,2019
,Eastern Visayas,Private,1422,57,1:25,2019
,Eastern Visayas,Private,78,14,1:6,2019
,Eastern Visayas,Private,513,29,1:18,2019
,Eastern Visayas,Private,270,16,1:17,2019
,Eastern Visayas,Private,107,15,1:7,2019
,Eastern Visayas,Private,1196,152,1:8,2019
,Eastern Visayas,Private,443,23,1:19,2019
,Eastern Visayas,Private,682,28,1:24,2019
,Eastern Visayas,Private,877,49,1:18,2019
,Eastern Visayas,Private,89,15,1:6,2019
,Eastern Visayas,Private,290,16,1:18,2019
,Eastern Visayas,Private,570,36,1:16,2019
,Eastern Visayas,Private,188,17,1:11,2019
,Eastern Visayas,Private,124,17,1:7,2019
,Eastern Visayas,Private,208,22,1:9,2019
,Eastern Visayas,Private,1780,93,1:19,2019
,Eastern Visayas,Private,177,32,1:6,2019
,Eastern Visayas,Private,210,19,1:11,2019
,Eastern Visayas,Private,1291,41,1:31,2019
,Eastern Visayas,Private,285,11,1:26,2019
,Eastern Visayas,Private,65,18,1:4,2019
,Eastern Visayas,Private,25,4,1:6,2019
,Eastern Visayas,Private,2606,125,1:21,2019
,Eastern Visayas,Private,656,33,1:20,2019
,Eastern Visayas,Private,2137,67,1:32,2019
,Eastern Visayas,Private,296,35,1:8,2019
,Eastern Visayas,Private,195,19,1:10,2019
,Eastern Visayas,Private,54,17,1:3,2019
,Eastern Visayas,Private,2938,130,1:23,2019
,Eastern Visayas,Private,214,28,1:8,2019
,Eastern Visayas,Private,31,19,1:2,2019
,Eastern Visayas,Private,870,39,1:22,2019
,Eastern Visayas,Private,475,21,1:23,2019
,Eastern Visayas,Private,187,19,1:10,2019
,Eastern Visayas,Private,289,32,1:9,2019
,Eastern Visayas,Private,785,37,1:21,2019
,Eastern Visayas,Private,780,26,1:30,2019
,Eastern Visayas,Private,679,70,1:10,2019
,Eastern Visayas,Private,40,13,1:3,2019
,Eastern Visayas,Private,1648,90,1:18,2019
,Zamboanga,Private,46,9,1:5,2019
,Zamboanga,Private,52,16,1:3,2019
,Zamboanga,Private,920,8,1:115,2019
,Zamboanga,Private,1097,76,1:14,2019
,Zamboanga,Private,2869,245,1:12,2019
,Zamboanga,Private,474,40,1:12,2019
,Zamboanga,Private,158,16,1:10,2019
,Zamboanga,Private,366,24,1:15,2019
,Zamboanga,Private,632,70,1:9,2019
,Zamboanga,Private,856,65,1:13,2019
,Zamboanga,Private,851,41,1:21,2019
,Zamboanga,Private,24,6,1:4,2019
,Zamboanga,Private,118,9,1:13,2019
,Zamboanga,Private,408,33,1:12,2019
,Zamboanga,Private,639,41,1:16,2019
,Zamboanga,Private,1671,50,1:33,2019
,Zamboanga,Private,190,27,1:7,2019
,Zamboanga,Private,232,28,1:8,2019
,Zamboanga,Private,373,17,1:22,2019
,Zamboanga,Private,79,13,1:6,2019
,Zamboanga,Private,151,25,1:6,2019
,Zamboanga,Private,48,11,1:4,2019
,Zamboanga,Private,71,24,1:3,2019
,Zamboanga,Private,320,16,1:20,2019
,Zamboanga,Private,261,16,1:16,2019
,Zamboanga,Private,236,17,1:14,2019
,Zamboanga,Private,360,34,1:11,2019
,Zamboanga,Private,341,13,1:26,2019
,Zamboanga,Private,913,43,1:21,2019
,Zamboanga,Private,1149,60,1:19,2019
,Zamboanga,Private,613,47,1:13,2019
,Zamboanga,Private,118,10,1:12,2019
,Zamboanga,Private,3041,149,1:20,2019
,Zamboanga,Private,281,31,1:9,2019
,Zamboanga,Private,1409,46,1:31,2019
,Zamboanga,Private,3385,100,1:34,2019
,Zamboanga,Private,1285,28,1:46,2019
,Zamboanga,Private,1700,44,1:39,2019
,Zamboanga,Private,162,21,1:8,2019
,Zamboanga,Private,52,2,1:26,2019
,Zamboanga,Private,6695,148,1:45,2019
,Zamboanga,Private,625,46,1:14,2019
,Zamboanga,Private,125,22,1:6,2019
,Zamboanga,Private,213,28,1:8,2019
,Zamboanga,Private,95,17,1:6,2019
,Zamboanga,Private,345,32,1:11,2019
,Zamboanga,Private,7115,124,1:57,2019
,Zamboanga,Private,169,10,1:17,2019
,Zamboanga,Private,116,17,1:7,2019
,Zamboanga,Private,52,9,1:6,2019
,Zamboanga,Private,132,16,1:8,2019
,Zamboanga,Private,975,39,1:25,2019
,Zamboanga,Private,920,42,1:22,2019
,Northern Mindanao ,Private,230,13,1:18,2019
,Northern Mindanao ,Private,691,50,1:14,2019
,Northern Mindanao ,Private,45,12,1:4,2019
,Northern Mindanao ,Private,96,9,1:11,2019
,Northern Mindanao ,Private,45,13,1:3,2019
,Northern Mindanao ,Private,9955,201,1:50,2019
,Northern Mindanao ,Private,3855,146,1:26,2019
,Northern Mindanao ,Private,800,48,1:17,2019
,Northern Mindanao ,Private,845,44,1:19,2019
,Northern Mindanao ,Private,121,15,1:8,2019
,Northern Mindanao ,Private,400,14,1:29,2019
,Northern Mindanao ,Private,253,22,1:12,2019
,Northern Mindanao ,Private,553,14,1:40,2019
,Northern Mindanao ,Private,1631,25,1:65,2019
,Northern Mindanao ,Private,1727,45,1:38,2019
,Northern Mindanao ,Private,564,61,1:9,2019
,Northern Mindanao ,Private,738,40,1:18,2019
,Northern Mindanao ,Private,2186,116,1:19,2019
,Northern Mindanao ,Private,2749,138,1:20,2019
,Northern Mindanao ,Private,552,28,1:20,2019
,Northern Mindanao ,Private,6023,350,1:17,2019
,Northern Mindanao ,Private,1359,123,1:11,2019
,Northern Mindanao ,Private,843,45,1:19,2019
,Northern Mindanao ,Private,377,53,1:7,2019
,Northern Mindanao ,Private,3025,81,1:37,2019
,Northern Mindanao ,Private,1190,30,1:40,2019
,Northern Mindanao ,Private,552,15,1:37,2019
,Northern Mindanao ,Private,586,27,1:22,2019
,Northern Mindanao ,Private,979,51,1:19,2019
,Northern Mindanao ,Private,3885,159,1:24,2019
,Northern Mindanao ,Private,416,36,1:12,2019
,Northern Mindanao ,Private,1149,104,1:11,2019
,Northern Mindanao ,Private,1844,68,1:27,2019
,Northern Mindanao ,Private,37,12,1:3,2019
,Northern Mindanao ,Private,6,2,1:3,2019
,Northern Mindanao ,Private,23,11,1:2,2019
,Northern Mindanao ,Private,305,17,1:18,2019
,Northern Mindanao ,Private,1293,44,1:29,2019
,Northern Mindanao ,Private,896,25,1:36,2019
,Northern Mindanao ,Private,26,17,1:2,2019
,Northern Mindanao ,Private,617,53,1:12,2019
,Northern Mindanao ,Private,1067,34,1:31,2019
,Northern Mindanao ,Private,820,25,1:33,2019
,Northern Mindanao ,Private,599,29,1:21,2019
,Northern Mindanao ,Private,797,53,1:15,2019
,Northern Mindanao ,Private,681,37,1:18,2019
,Northern Mindanao ,Private,557,19,1:29,2019
,Northern Mindanao ,Private,138,9,1:15,2019
,Northern Mindanao ,Private,630,21,1:30,2019
,Northern Mindanao ,Private,2834,73,1:39,2019
,Northern Mindanao ,Private,74,21,1:4,2019
,Northern Mindanao ,Private,14,14,1:1,2019
,Northern Mindanao ,Private,2259,102,1:22,2019
,Northern Mindanao ,Private,2952,120,1:25,2019
,Northern Mindanao ,Private,572,48,1:12,2019
,Northern Mindanao ,Private,446,35,1:13,2019
,Northern Mindanao ,Private,600,25,1:24,2019
,Northern Mindanao ,Private,53,9,1:6,2019
,Northern Mindanao ,Private,22,10,1:2,2019
,Northern Mindanao ,Private,191,17,1:11,2019
,Northern Mindanao ,Private,125,21,1:6,2019
,Northern Mindanao ,Private,2121,65,1:33,2019
,Northern Mindanao ,Private,80,14,1:6,2019
,Northern Mindanao ,Private,6542,409,1:16,2019
,Davao Region,Private,347,56,1:6,2019
,Davao Region,Private,452,52,1:9,2019
,Davao Region,Private,233,12,1:19,2019
,Davao Region,Private,231,18,1:13,2019
,Davao Region,Private,1074,35,1:31,2019
,Davao Region,Private,587,25,1:23,2019
,Davao Region,Private,655,40,1:16,2019
,Davao Region,Private,506,22,1:23,2019
,Davao Region,Private,875,58,1:15,2019
,Davao Region,Private,907,52,1:17,2019
,Davao Region,Private,7082,534,1:13,2019
,Davao Region,Private,747,40,1:19,2019
,Davao Region,Private,172,8,1:22,2019
,Davao Region,Private,652,58,1:11,2019
,Davao Region,Private,2639,110,1:24,2019
,Davao Region,Private,1661,35,1:47,2019
,Davao Region,Private,2473,156,1:16,2019
,Davao Region,Private,3040,542,1:6,2019
,Davao Region,Private,360,17,1:21,2019
,Davao Region,Private,707,41,1:17,2019
,Davao Region,Private,1856,97,1:19,2019
,Davao Region,Private,46,15,1:3,2019
,Davao Region,Private,263,21,1:13,2019
,Davao Region,Private,56,11,1:5,2019
,Davao Region,Private,345,45,1:8,2019
,Davao Region,Private,548,24,1:23,2019
,Davao Region,Private,270,16,1:17,2019
,Davao Region,Private,6653,265,1:25,2019
,Davao Region,Private,98,16,1:6,2019
,Davao Region,Private,95,12,1:8,2019
,Davao Region,Private,361,22,1:16,2019
,Davao Region,Private,821,73,1:11,2019
,Davao Region,Private,29,23,1:1,2019
,Davao Region,Private,432,19,1:23,2019
,Davao Region,Private,791,39,1:20,2019
,Davao Region,Private,646,27,1:24,2019
,Davao Region,Private,525,35,1:15,2019
,Davao Region,Private,352,25,1:14,2019
,Davao Region,Private,2929,67,1:44,2019
,Davao Region,Private,105,27,1:4,2019
,Davao Region,Private,827,64,1:13,2019
,Davao Region,Private,9,5,1:2,2019
,Davao Region,Private,1229,32,1:38,2019
,Davao Region,Private,1173,9,1:130,2019
,Davao Region,Private,128,10,1:13,2019
,Davao Region,Private,1670,108,1:15,2019
,Davao Region,Private,671,43,1:16,2019
,Davao Region,Private,135,18,1:8,2019
,Davao Region,Private,116,15,1:8,2019
,Davao Region,Private,564,49,1:12,2019
,Davao Region,Private,214,13,1:16,2019
,Davao Region,Private,4075,85,1:48,2019
,Davao Region,Private,259,18,1:14,2019
,Davao Region,Private,474,31,1:15,2019
,Davao Region,Private,2929,56,1:52,2019
,Davao Region,Private,114,13,1:9,2019
,Davao Region,Private,82,21,1:4,2019
,Davao Region,Private,2306,69,1:33,2019
,Davao Region,Private,476,28,1:17,2019
,Davao Region,Private,555,35,1:16,2019
,Davao Region,Private,1724,71,1:24,2019
,Davao Region,Private,740,83,1:9,2019
,Davao Region,Private,723,34,1:21,2019
,Davao Region,Private,339,27,1:13,2019
,Davao Region,Private,398,39,1:10,2019
,Davao Region,Private,84,17,1:5,2019
,Davao Region,Private,2033,103,1:20,2019
,Davao Region,Private,383,24,1:16,2019
,Davao Region,Private,2719,101,1:27,2019
,Davao Region,Private,1018,40,1:25,2019
,Davao Region,Private,414,32,1:13,2019
,Davao Region,Private,8931,212,1:42,2019
,Davao Region,Private,23844,495,1:48,2019
,Davao Region,Private,3705,202,1:18,2019
,Soccsksargen,Private,31,13,1:2,2019
,Soccsksargen,Private,285,20,1:14,2019
,Soccsksargen,Private,183,19,1:10,2019
,Soccsksargen,Private,218,17,1:13,2019
,Soccsksargen,Private,12,10,1:1,2019
,Soccsksargen,Private,68,10,1:7,2019
